Type , Left     , Old Mid      , Right        , New Mid    , Frequency
DEL  , NUMBER   , NUMBER       , ']'          ,            , 7        
SUB  , '='      , '['          , STRING       , '{'        , 7        
INS  , STRING   ,              , '，'          , ']'        , 7        
INS  , '.'      ,              , '('          , NAME       , 7        
DEL  , START    , NAME         , '{'          ,            , 7        
DEL  , NAME     , ':'          , '/'          ,            , 7        
INS  , ')'      ,              , END          , '}'        , 7        
DEL  , NAME     , ')'          , ']'          ,            , 7        
DEL  , STRING   , UNKNOWN_CHAR , UNKNOWN_CHAR ,            , 7        
SUB  , 'return' , 'True'       , NEWLINE      , NAME       , 7        
INS  , '}'      ,              , ')'          , '}'        , 7        
INS  , NAME     ,              , ':'          , ')'        , 7        
INS  , START    ,              , NAME         , '('        , 7        
DEL  , STRING   , '，'          , '%'          ,            , 7        
INS  , '['      ,              , NAME         , '('        , 7        
DEL  , NAME     , 'if'         , NAME         ,            , 7        
INS  , NUMBER   ,              , NEWLINE      , ')'        , 7        
DEL  , ']'      , ')'          , NEWLINE      ,            , 7        
DEL  , ')'      , ')'          , 'for'        ,            , 7        
INS  , '.'      ,              , NAME         , 'import'   , 7        
SUB  , NEWLINE  , '>>'         , '>'          , 98         , 6        
DEL  , STRING   , '}'          , '，'          ,            , 6        
DEL  , NAME     , '/'          , '>'          ,            , 6        
DEL  , NAME     , NAME         , STRING       ,            , 6        
DEL  , NAME     , NUMBER       , '='          ,            , 6        
DEL  , NEWLINE  , 'or'         , NEWLINE      ,            , 6        
INS  , ']'      ,              , '，'          , ']'        , 6        
INS  , NEWLINE  ,              , NAME         , 'def'      , 6        
INS  , ':'      ,              , STRING       , '{'        , 6        
INS  , STRING   ,              , '，'          , '}'        , 6        
INS  , NUMBER   ,              , '...'        , '，'        , 6        
DEL  , '...'    , '.'          , END          ,            , 6        
DEL  , ')'      , NAME         , '，'          ,            , 6        
DEL  , NAME     , 'is'         , ':'          ,            , 6        
SUB  , NAME     , UNKNOWN_CHAR , NAME         , '.'        , 6        
DEL  , '&'      , '&'          , NAME         ,            , 6        
DEL  , '='      , NEWLINE      , NAME         ,            , 6        
SUB  , ']'      , '='          , STRING       , '=='       , 6        
DEL  , STRING   , UNKNOWN_CHAR , '}'          ,            , 6        
SUB  , NAME     , ':'          , NAME         , '，'        , 6        
INS  , START    ,              , NAME         , 'if'       , 6        
DEL  , NUMBER   , NUMBER       , END          ,            , 6        
DEL  , START    , '>'          , 'from'       ,            , 6        
DEL  , START    , '>'          , NUMBER       ,            , 6        
DEL  , '，'      , '，'          , NAME         ,            , 6        
DEL  , NAME     , ')'          , END          ,            , 6        
SUB  , NAME     , UNKNOWN_CHAR , ')'          , '('        , 6        
DEL  , '='      , '='          , NAME         ,            , 6        
DEL  , '...'    , '.'          , '.'          ,            , 6        
DEL  , ':'      , ':'          , NUMBER       ,            , 6        
DEL  , NUMBER   , NUMBER       , '-'          ,            , 6        
DEL  , NAME     , '='          , NAME         ,            , 6        
INS  , ']'      ,              , END          , NEWLINE    , 6        
INS  , START    ,              , NAME         , '['        , 6        
DEL  , START    , NAME         , NAME         ,            , 6        
DEL  , NAME     , NAME         , '+'          ,            , 6        
INS  , ':'      ,              , '}'          , NUMBER     , 6        
INS  , STRING   ,              , NAME         , '.'        , 6        
DEL  , '，'      , UNKNOWN_CHAR , END          ,            , 5        
DEL  , NAME     , '.'          , ']'          ,            , 5        
SUB  , STRING   , NUMBER       , UNKNOWN_CHAR , '，'        , 5        
INS  , NAME     ,              , NUMBER       , '='        , 5        
SUB  , STRING   , '，'          , NUMBER       , ':'        , 5        
DEL  , ')'      , '.'          , NEWLINE      ,            , 5        
INS  , '['      ,              , NUMBER       , '['        , 5        
DEL  , ')'      , NEWLINE      , 99           ,            , 5        
INS  , '['      ,              , STRING       , '{'        , 5        
INS  , '}'      ,              , '，'          , '}'        , 5        
INS  , ')'      ,              , NEWLINE      , '('        , 5        
SUB  , NAME     , NEWLINE      , NAME         , ':'        , 5        
INS  , '='      ,              , STRING       , '['        , 5        
DEL  , '}'      , '.'          , END          ,            , 5        
DEL  , NAME     , NUMBER       , '，'          ,            , 5        
INS  , '['      ,              , 'for'        , NAME       , 5        
DEL  , NEWLINE  , 98           , 'class'      ,            , 5        
INS  , '='      ,              , END          , NAME       , 5        
DEL  , ']'      , '*'          , END          ,            , 5        
INS  , ']'      ,              , NAME         , '，'        , 5        
INS  , ':'      ,              , '}'          , STRING     , 5        
DEL  , NAME     , '...'        , END          ,            , 5        
INS  , NUMBER   ,              , NAME         , '，'        , 5        
DEL  , 'if'     , UNKNOWN_CHAR , NAME         ,            , 5        
DEL  , NUMBER   , UNKNOWN_CHAR , '}'          ,            , 5        
DEL  , START    , UNKNOWN_CHAR , 'from'       ,            , 5        
DEL  , ':'      , UNKNOWN_CHAR , NAME         ,            , 5        
INS  , NAME     ,              , ')'          , '}'        , 5        
DEL  , NAME     , '('          , STRING       ,            , 5        
DEL  , START    , '%'          , NAME         ,            , 5        
INS  , NUMBER   ,              , NEWLINE      , ':'        , 5        
DEL  , START    , '>'          , STRING       ,            , 5        
INS  , '，'      ,              , NEWLINE      , ')'        , 5        
DEL  , ')'      , UNKNOWN_CHAR , '.'          ,            , 5        
DEL  , STRING   , ':'          , STRING       ,            , 5        
INS  , NEWLINE  ,              , 'except'     , 99         , 5        
INS  , NAME     ,              , '{'          , '='        , 5        
SUB  , STRING   , ':'          , NAME         , '，'        , 5        
DEL  , '...'    , '...'        , '.'          ,            , 5        
DEL  , START    , UNKNOWN_CHAR , 'def'        ,            , 5        
DEL  , ']'      , UNKNOWN_CHAR , NEWLINE      ,            , 5        
DEL  , ')'      , ']'          , END          ,            , 5        
DEL  , '，'      , '**'         , STRING       ,            , 5        
DEL  , NAME     , NAME         , NUMBER       ,            , 5        
DEL  , NUMBER   , NAME         , END          ,            , 5        
DEL  , NAME     , '-'          , NAME         ,            , 5        
SUB  , '='      , 'None'       , NEWLINE      , NAME       , 5        
DEL  , '|'      , '|'          , NAME         ,            , 5        
DEL  , NEWLINE  , '**'         , NAME         ,            , 5        
DEL  , '}'      , ')'          , END          ,            , 5        
INS  , STRING   ,              , NAME         , ']'        , 5        
INS  , ')'      ,              , NAME         , ']'        , 5        
DEL  , NAME     , ':'          , NAME         ,            , 5        
DEL  , NUMBER   , NAME         , ']'          ,            , 5        
INS  , 'import' ,              , END          , NAME       , 5        
INS  , 'True'   ,              , END          , ')'        , 5        
INS  , ')'      ,              , STRING       , '+'        , 5        
INS  , ']'      ,              , NAME         , ')'        , 5        
INS  , 98       ,              , NAME         , 'return'   , 5        
DEL  , '，'      , '...'        , '}'          ,            , 5        
DEL  , '，'      , '>'          , STRING       ,            , 5        
DEL  , NAME     , NUMBER       , NEWLINE      ,            , 5        
INS  , NAME     ,              , END          , ':'        , 5        
SUB  , '='      , 'False'      , NEWLINE      , NAME       , 5        
DEL  , NAME     , NAME         , '>'          ,            , 5        
INS  , 99       ,              , 'return'     , 99         , 5        
INS  , ']'      ,              , NAME         , '.'        , 5        
DEL  , NAME     , NUMBER       , ')'          ,            , 5        
INS  , NEWLINE  ,              , 'global'     , 98         , 5        
DEL  , ')'      , NEWLINE      , '>>'         ,            , 5        
INS  , NAME     ,              , NAME         , 'if'       , 5        
INS  , ')'      ,              , ')'          , '}'        , 5        
INS  , 'lambda' ,              , NAME         , ':'        , 5        
INS  , '='      ,              , '('          , NAME       , 5        
INS  , ')'      ,              , NAME         , 'if'       , 5        
INS  , ')'      ,              , 'for'        , ']'        , 5        
DEL  , '，'      , '**'         , NAME         ,            , 5        
INS  , NAME     ,              , END          , ']'        , 5        
DEL  , '='      , '('          , NAME         ,            , 5        
DEL  , NAME     , '，'          , NAME         ,            , 5        
SUB  , NAME     , '->'         , NAME         , '.'        , 5        
INS  , ')'      ,              , STRING       , '，'        , 5        
INS  , NAME     ,              , NAME         , '-'        , 5        
DEL  , NAME     , NAME         , '=='         ,            , 5        
DEL  , NAME     , STRING       , NAME         ,            , 4        
SUB  , STRING   , ':'          , STRING       , '，'        , 4        
DEL  , ')'      , '}'          , END          ,            , 4        
INS  , '='      ,              , NAME         , '('        , 4        
DEL  , ')'      , ')'          , '.'          ,            , 4        
DEL  , NAME     , '**'         , ')'          ,            , 4        
DEL  , 98       , STRING       , NEWLINE      ,            , 4        
DEL  , NAME     , NUMBER       , ':'          ,            , 4        
DEL  , STRING   , UNKNOWN_CHAR , NAME         ,            , 4        
INS  , NEWLINE  ,              , 'while'      , 99         , 4        
INS  , STRING   ,              , '.'          , ')'        , 4        
DEL  , 98       , '^'          , NEWLINE      ,            , 4        
DEL  , ']'      , ':'          , END          ,            , 4        
INS  , NEWLINE  ,              , '...'        , 98         , 4        
DEL  , '，'      , NAME         , STRING       ,            , 4        
SUB  , STRING   , NEWLINE      , NAME         , ':'        , 4        
DEL  , NAME     , STRING       , '%'          ,            , 4        
SUB  , '='      , '['          , NAME         , '{'        , 4        
SUB  , NUMBER   , ']'          , END          , '}'        , 4        
INS  , '，'      ,              , NAME         , '('        , 4        
DEL  , START    , NAME         , 'import'     ,            , 4        
DEL  , NAME     , NEWLINE      , 99           ,            , 4        
DEL  , NAME     , 99           , END          ,            , 4        
DEL  , '['      , '['          , NAME         ,            , 4        
DEL  , '，'      , '，'          , STRING       ,            , 4        
SUB  , START    , UNKNOWN_CHAR , NAME         , STRING     , 4        
DEL  , STRING   , NAME         , NEWLINE      ,            , 4        
INS  , ']'      ,              , NAME         , ':'        , 4        
DEL  , NEWLINE  , '//'         , NAME         ,            , 4        
INS  , ':'      ,              , NAME         , '('        , 4        
INS  , ')'      ,              , NEWLINE      , ']'        , 4        
DEL  , NUMBER   , ':'          , NUMBER       ,            , 4        
DEL  , STRING   , ')'          , END          ,            , 4        
INS  , NAME     ,              , '['          , ')'        , 4        
INS  , NAME     ,              , '='          , '('        , 4        
INS  , '('      ,              , '='          , NAME       , 4        
INS  , NAME     ,              , NAME         , 'as'       , 4        
DEL  , STRING   , UNKNOWN_CHAR , STRING       ,            , 4        
DEL  , START    , 'def'        , NAME         ,            , 4        
INS  , 99       ,              , NAME         , 'return'   , 4        
DEL  , NAME     , '='          , NEWLINE      ,            , 4        
SUB  , NUMBER   , NEWLINE      , NAME         , ':'        , 4        
DEL  , ')'      , '*'          , END          ,            , 4        
INS  , 99       ,              , 'def'        , 99         , 4        
DEL  , START    , UNKNOWN_CHAR , 'class'      ,            , 4        
DEL  , START    , '>>'         , '['          ,            , 4        
INS  , 99       ,              , 'else'       , 99         , 4        
DEL  , NAME     , UNKNOWN_CHAR , '*'          ,            , 4        
SUB  , START    , 'from'       , NAME         , 'import'   , 4        
