Snippet length, Patch size, Bonus Actions, Bonus Total, Possible, Distinct valid repairs, Relevant edit actions, Saturation, Seq2Parse matched
33, 1, 26, 140, 1, 56, 196, 0.04683919901732099, 1
481, 1, 0, 0, 1, 1, 4777, 8.776367501624987E-7, 1
30, 1, 96, 1876, 1, 652, 271, 0.007352133536004195, 1
53, 2, 65, 1085, 1, 380, 533, 7.026938477924941E-4, 0
294, 1, 41, 1199, 1, 503, 2448, 4.62029375988182E-6, 1
122, 3, 12, 87, 1, 34, 841, 2.1557591740381244E-4, 0
57, 2, 35, 291, 1, 87, 478, 0.0013505231031240453, 1
85, 2, 0, 0, 1, 1, 615, 0.0011849655493580216, 0
50, 3, 58, 739, 1, 223, 387, 0.0013854050229893816, 1
4, 1, 54, 114, 1, 42, 63, 0.1825879108630498, 0
185, 2, 0, 0, 1, 1, 1513, 7.621184506530517E-5, 0
27, 1, 83, 686, 1, 221, 163, 0.057153756930331326, 1
92, 1, 13, 464, 1, 172, 526, 0.0011117037245495951, 0
21, 2, 49, 1788, 1, 553, 127, 0.10372509519544451, 1
99, 2, 16, 85, 1, 35, 837, 3.7387466389521084E-4, 0
15, 1, 209, 1947, 1, 636, 111, 0.23177239597680185, 1
37, 2, 0, 0, 1, 1, 222, 0.023562557808443352, 0
60, 2, 34, 161, 1, 48, 466, 0.001415563105741524, 0
162, 2, 23, 151, 1, 63, 1332, 5.0828899346851184E-5, 0
21, 1, 30, 126, 1, 40, 155, 0.02830609547965335, 0
57, 1, 47, 2434, 1, 825, 350, 0.0032611241021405723, 0
26, 1, 12, 52, 1, 16, 189, 0.011315971787687921, 1
334, 2, 0, 0, 1, 1, 2124, 2.2070909763141737E-5, 0
115, 3, 0, 0, 1, 1, 999, 3.2206040541579267E-4, 0
25, 1, 98, 1277, 1, 392, 105, 0.15575760884111767, 0
22, 2, 47, 269, 1, 81, 135, 0.030590786050951366, 0
55, 2, 40, 280, 1, 100, 442, 0.0015900574868548303, 0
222, 3, 9, 50, 1, 19, 1181, 1.0448754999298904E-4, 0
2330, 1, 0, 0, 1, 1, 20730, 3.2736444837397344E-9, 0
283, 2, 23, 280, 1, 130, 2316, 7.578089504676644E-6, 0
27, 2, 38, 165, 1, 50, 202, 0.01599580355984283, 1
84, 1, 6, 12, 1, 5, 641, 0.0010770764928420124, 0
11, 1, 157, 1336, 1, 400, 94, 0.20812471790028028, 0
225, 3, 14, 44, 1, 23, 1908, 1.2656642180141404E-5, 0
58, 3, 21, 116, 1, 36, 448, 0.0010443850345817928, 0
93, 2, 12, 123, 1, 48, 475, 0.0016940529756429568, 1
10, 2, 24, 153, 1, 43, 44, 0.5295396749345815, 0
21, 2, 55, 542, 1, 173, 161, 0.027980765498233764, 0
186, 3, 0, 0, 1, 1, 1625, 4.461449038066452E-5, 0
31, 3, 0, 0, 1, 1, 288, 0.010057388833978661, 0
