SUB  , ':'      , UNKNOWN_CHAR , NUMBER       , STRING     , 1
SUB  , 'in'     , UNKNOWN_CHAR , ']'          , STRING     , 1
SUB  , NAME     , 'from'       , NAME         , 'import'   , 1
SUB  , ']'      , ']'          , END          , '}'        , 1
SUB  , NAME     , NEWLINE      , 98           , ':'        , 1
SUB  , 99       , NAME         , '('          , 'except'   , 1
SUB  , 98       , 'return'     , NEWLINE      , NAME       , 1
SUB  , ')'      , ']'          , END          , '}'        , 1
SUB  , STRING   , NAME         , '+'          , '，'        , 1
SUB  , '，'      , 'import'     , '，'          , NAME       , 1
SUB  , NAME     , STRING       , '%'          , '('        , 1
SUB  , NAME     , '{'          , NAME         , '，'        , 1
SUB  , '，'      , 'def'        , '='          , NAME       , 1
SUB  , 98       , NAME         , 'True'       , 'while'    , 1
SUB  , STRING   , NAME         , ':'          , STRING     , 1
SUB  , STRING   , ':'          , 'None'       , '，'        , 1
SUB  , NAME     , ':'          , '//'         , ']'        , 1
SUB  , '='      , '('          , STRING       , '{'        , 1
SUB  , STRING   , UNKNOWN_CHAR , NUMBER       , '，'        , 1
SUB  , START    , NEWLINE      , 98           , NAME       , 1
SUB  , NAME     , 98           , '+'          , '('        , 1
SUB  , '，'      , UNKNOWN_CHAR , END          , ']'        , 1
SUB  , ')'      , UNKNOWN_CHAR , END          , '.'        , 1
SUB  , ')'      , '，'          , '('          , ']'        , 1
SUB  , NEWLINE  , 'continue'   , NEWLINE      , 99         , 1
SUB  , '，'      , '.'          , '，'          , STRING     , 1
SUB  , '，'      , '.'          , ']'          , STRING     , 1
SUB  , NAME     , '='          , '('          , '.'        , 1
SUB  , '，'      , NAME         , UNKNOWN_CHAR , STRING     , 1
SUB  , NUMBER   , '，'          , '['          , ':'        , 1
SUB  , STRING   , NAME         , '-'          , NEWLINE    , 1
SUB  , STRING   , NEWLINE      , 98           , '('        , 1
SUB  , '('      , 98           , '['          , ')'        , 1
SUB  , STRING   , NAME         , NUMBER       , '，'        , 1
SUB  , '['      , '{'          , NUMBER       , '('        , 1
SUB  , START    , 'try'        , '='          , NAME       , 1
SUB  , NEWLINE  , 'try'        , '.'          , NAME       , 1
SUB  , NEWLINE  , 'and'        , END          , 98         , 1
SUB  , NEWLINE  , STRING       , NEWLINE      , 98         , 1
SUB  , 'import' , STRING       , NEWLINE      , NAME       , 1
SUB  , STRING   , '}'          , NEWLINE      , ')'        , 1
SUB  , '!='     , '+'          , 'or'         , STRING     , 1
SUB  , '!='     , '-'          , 'or'         , STRING     , 1
SUB  , '!='     , '*'          , NEWLINE      , STRING     , 1
SUB  , NEWLINE  , NAME         , 'True'       , 'while'    , 1
SUB  , '=='     , 'def'        , ')'          , NAME       , 1
SUB  , NEWLINE  , 98           , 'elif'       , 99         , 1
SUB  , NEWLINE  , 99           , NAME         , 98         , 1
SUB  , STRING   , UNKNOWN_CHAR , ')'          , '，'        , 1
SUB  , NAME     , ']'          , END          , '}'        , 1
SUB  , 'else'   , NEWLINE      , NAME         , ':'        , 1
SUB  , STRING   , STRING       , NAME         , ']'        , 1
SUB  , NAME     , '-'          , NAME         , NEWLINE    , 1
SUB  , '，'      , 'class'      , ':'          , STRING     , 1
SUB  , START    , NAME         , 'True'       , 'while'    , 1
SUB  , ':'      , 'break'      , NEWLINE      , NAME       , 1
SUB  , NEWLINE  , NAME         , '('          , 'with'     , 1
SUB  , 'and'    , UNKNOWN_CHAR , NAME         , STRING     , 1
SUB  , '('      , 'in'         , '('          , NAME       , 1
SUB  , NAME     , 'is'         , NAME         , 'if'       , 1
SUB  , '['      , 'from'       , '，'          , NAME       , 1
SUB  , 'from'   , 'def'        , 'import'     , NAME       , 1
SUB  , '.'      , 'def'        , 'import'     , NAME       , 1
SUB  , '{'      , NAME         , ':'          , STRING     , 1
SUB  , '}'      , ']'          , NEWLINE      , '}'        , 1
SUB  , NAME     , '.'          , NAME         , NEWLINE    , 1
SUB  , ']'      , ';'          , '['          , '，'        , 1
SUB  , NAME     , '<'          , NAME         , NEWLINE    , 1
SUB  , ']'      , '...'        , '.'          , '，'        , 1
SUB  , STRING   , NUMBER       , UNKNOWN_CHAR , STRING     , 1
SUB  , STRING   , UNKNOWN_CHAR , '}'          , '，'        , 1
SUB  , START    , 'for'        , NAME         , NEWLINE    , 1
SUB  , ')'      , '='          , STRING       , '=='       , 1
SUB  , NAME     , NEWLINE      , 99           , ')'        , 1
SUB  , 98       , '>'          , NUMBER       , NEWLINE    , 1
SUB  , NEWLINE  , NUMBER       , END          , 99         , 1
SUB  , STRING   , STRING       , NUMBER       , '，'        , 1
SUB  , NUMBER   , NAME         , UNKNOWN_CHAR , ':'        , 1
SUB  , '{'      , ':'          , NUMBER       , STRING     , 1
SUB  , ':'      , STRING       , '}'          , NUMBER     , 1
SUB  , STRING   , '='          , '['          , '，'        , 1
SUB  , '('      , '/'          , NAME         , STRING     , 1
SUB  , NEWLINE  , NUMBER       , 'return'     , 98         , 1
SUB  , NEWLINE  , NUMBER       , NAME         , 99         , 1
SUB  , STRING   , '}'          , '，'          , ']'        , 1
SUB  , 'None'   , ']'          , '，'          , '}'        , 1
SUB  , NUMBER   , ']'          , '，'          , '}'        , 1
SUB  , NUMBER   , ')'          , ']'          , '，'        , 1
SUB  , NUMBER   , ';'          , NUMBER       , ':'        , 1
SUB  , '}'      , ']'          , END          , ')'        , 1
SUB  , ')'      , '...'        , NAME         , '，'        , 1
SUB  , START    , NAME         , '.'          , 'from'     , 1
SUB  , '['      , UNKNOWN_CHAR , NUMBER       , STRING     , 1
SUB  , NAME     , NAME         , NAME         , NEWLINE    , 1
SUB  , NUMBER   , '='          , NUMBER       , '=='       , 1
SUB  , '，'      , '['          , NUMBER       , '('        , 1
SUB  , STRING   , NAME         , ']'          , '，'        , 1
SUB  , STRING   , ')'          , '，'          , ']'        , 1
SUB  , '，'      , 'from'       , '='          , NAME       , 1
SUB  , NAME     , '{'          , NAME         , '('        , 1
SUB  , NUMBER   , ']'          , NEWLINE      , ')'        , 1
SUB  , NUMBER   , UNKNOWN_CHAR , ')'          , '='        , 1
SUB  , 'in'     , UNKNOWN_CHAR , NAME         , STRING     , 1
